2026-05-28T09:32:49.618Z 493338,-0.183,-1.918,0.364,-10.029,-8.359,-1.508;493358,-0.182,-2.032,0.454,-5.595,-9.238,3.201;493378,-0.190,-2.060,0.439,2.441,-7.157,9.248;493401,-0.177,-2.030,0.400,3.347,-5.516,15.685;493421,-0.127,-1.927,0.329,2.168,-4.084,20.785
2026-05-28T09:32:49.713Z 493441,-0.073,-1.785,0.268,-0.776,-2.263,23.696;493461,-0.026,-1.572,0.207,1.226,1.015,22.192;493481,-0.000,-1.351,0.149,8.422,5.221,14.915;493503,0.001,-1.089,0.089,22.658,6.168,6.036;493527,-0.005,-0.846,0.038,26.675,6.818,-1.189
2026-05-28T09:32:49.805Z 493547,-0.020,-0.669,0.010,20.715,7.342,-5.850;493567,-0.036,-0.572,0.014,9.093,6.140,-7.445;493590,-0.049,-0.521,0.040,0.295,4.249,-7.396;493610,-0.057,-0.489,0.056,-2.230,2.559,-7.378;493630,-0.045,-0.443,0.060,-0.706,1.726,-8.750
2026-05-28T09:32:50.021Z 493650,-0.021,-0.391,0.032,-0.838,-0.648,-10.979;493670,0.011,-0.329,0.004,0.515,-1.539,-12.390;493690,0.035,-0.252,-0.032,5.235,0.642,-13.178;493710,0.042,-0.164,-0.052,9.723,6.853,-12.539;493730,0.018,-0.096,-0.086,9.967,13.736,-11.009
2026-05-28T09:32:50.046Z 493753,0.006,-0.073,-0.144,6.632,17.535,-7.638;493773,-0.061,-0.204,-0.191,1.115,14.492,2.478;493793,-0.189,-0.623,-0.183,-9.380,3.172,19.296;493813,-0.269,-1.130,-0.099,-28.984,-18.470,24.418;493833,-0.199,-1.410,0.052,-17.981,-22.310,16.544
2026-05-28T09:32:50.204Z 493853,-0.043,-1.557,0.136,-13.791,-21.857,9.048;493873,0.055,-1.740,0.344,-22.407,-20.565,1.905;493893,0.055,-1.904,0.463,-17.810,-13.781,-1.457;493913,0.012,-2.002,0.625,-2.486,-5.681,-3.885;493933,-0.042,-1.973,0.548,10.531,5.700,-8.552
2026-05-28T09:32:50.229Z 493957,-0.102,-1.858,0.460,8.530,11.959,-14.550;493977,-0.144,-1.700,0.413,1.180,13.964,-18.694;493997,-0.136,-1.499,0.351,-3.263,14.662,-19.031;494017,-0.114,-1.282,0.279,-1.986,17.416,-17.443;494037,-0.111,-1.062,0.221,4.986,19.015,-12.236
2026-05-28T09:32:50.349Z 494057,-0.124,-0.875,0.149,11.745,18.552,-6.031;494081,-0.103,-0.711,0.104,15.413,16.227,0.582;494101,-0.067,-0.584,0.069,13.421,12.768,5.451;494121,-0.040,-0.485,0.030,7.801,9.415,7.769;494145,-0.022,-0.411,0.009,0.854,6.730,9.425
2026-05-28T09:32:50.466Z 494165,-0.013,-0.357,-0.018,-2.662,6.481,8.695;494185,-0.011,-0.297,-0.057,-2.510,8.319,5.593;494209,-0.003,-0.274,-0.145,-0.476,9.497,1.153;494229,0.020,-0.306,-0.240,5.684,11.176,-5.519;494249,0.086,-0.473,-0.280,3.742,10.708,-11.957
2026-05-28T09:32:50.556Z 494273,0.088,-0.801,-0.207,-10.086,6.777,-17.284;494293,-0.194,-1.182,-0.045,-29.914,-3.551,-16.565;494313,-0.178,-1.473,0.257,-29.006,-0.070,-13.556;494333,-0.181,-1.660,0.239,-8.158,-2.513,-9.798;494353,-0.275,-1.832,0.423,-18.488,-9.039,-3.0
2026-05-28T09:32:50.649Z 494375,-0.312,-1.930,0.496,-11.311,-11.062,5.915;494395,-0.299,-1.909,0.451,-6.392,-11.279,14.562;494415,-0.229,-1.816,0.411,-11.842,-10.741,21.336;494435,-0.118,-1.680,0.376,-16.190,-8.571,25.344;494455,-0.047,-1.527,0.325,-16.133,-6.901,24.24
2026-05-28T09:32:50.770Z 494475,-0.029,-1.349,0.265,-9.749,-4.538,21.537;494498,-0.041,-1.113,0.186,5.025,-1.367,14.334;494518,-0.042,-0.869,0.110,20.183,0.275,6.084;494538,-0.016,-0.671,0.063,24.370,1.516,-1.560;494558,-0.006,-0.535,0.030,17.309,0.409,-6.577
2026-05-28T09:32:50.890Z 494582,-0.017,-0.449,0.044,-0.265,-1.071,-9.731;494602,-0.042,-0.398,0.073,-12.677,-2.430,-10.715;494622,-0.046,-0.385,0.038,-11.380,-4.254,-10.560;494642,-0.019,-0.359,0.001,-7.475,-4.952,-10.363;494664,-0.005,-0.312,-0.049,-2.371,-5.226,-10.5
2026-05-28T09:32:50.978Z 494684,-0.011,-0.250,-0.083,-1.668,-3.508,-11.495;494704,-0.029,-0.200,-0.135,-2.095,1.413,-11.395;494724,-0.017,-0.196,-0.175,-5.535,0.157,-7.366;494744,-0.076,-0.413,-0.190,-5.748,-2.815,3.908;494764,-0.163,-0.951,-0.260,-22.647,-25.198,29.16
2026-05-28T09:32:51.068Z 494788,-0.178,-1.408,0.011,-22.482,-26.838,24.238;494808,-0.000,-1.556,0.137,-17.114,-20.634,15.438;494828,0.137,-1.718,0.263,-20.836,-13.803,10.357;494848,0.108,-1.834,0.414,-15.852,-2.367,7.162;494868,0.059,-1.896,0.479,-5.427,9.982,2.254
2026-05-28T09:32:51.164Z 494888,-0.014,-1.840,0.400,4.817,18.729,-4.353;494908,-0.092,-1.734,0.357,4.644,25.295,-11.190;494928,-0.131,-1.581,0.292,0.468,27.781,-16.708;494948,-0.115,-1.399,0.237,-6.633,28.732,-19.280;494968,-0.066,-1.165,0.177,-6.307,30.364,-18.665
2026-05-28T09:32:51.280Z 494988,-0.060,-0.959,0.121,1.167,31.302,-14.642;495008,-0.090,-0.781,0.079,11.630,31.157,-8.349;495028,-0.103,-0.638,0.031,19.481,28.077,-2.085;495048,-0.110,-0.516,0.000,20.559,22.776,3.928;495068,-0.112,-0.436,-0.006,13.832,14.122,9.876
2026-05-28T09:32:51.369Z 495091,-0.098,-0.379,-0.010,7.069,3.682,13.338;495111,-0.066,-0.327,-0.033,1.193,-4.130,14.218;495131,-0.039,-0.283,-0.060,-2.748,-8.903,12.862;495151,-0.034,-0.218,-0.085,-4.561,-9.417,9.146;495171,-0.035,-0.204,-0.166,-4.390,-11.777,5.988
2026-05-28T09:32:51.462Z 495191,-0.043,-0.232,-0.266,-4.033,-13.718,2.755;495211,0.023,-0.433,-0.347,-4.106,-18.508,-3.176;495231,0.154,-0.920,-0.371,-8.791,-23.148,-11.121;495251,-0.040,-1.278,-0.321,-32.109,-30.351,-14.745;495275,-0.114,-1.510,0.010,-18.247,-21.532,-
2026-05-28T09:32:51.581Z 495297,-0.179,-1.704,0.159,-20.491,-23.484,-0.918;495317,-0.238,-1.879,0.426,-31.937,-29.565,4.183;495337,-0.230,-1.859,0.608,-16.719,-29.122,9.030;495361,-0.161,-1.811,0.529,-9.075,-28.883,12.178;495381,-0.072,-1.698,0.468,-10.469,-25.887,14.4
2026-05-28T09:32:51.666Z 495401,0.010,-1.511,0.391,-9.100,-19.386,13.956;495421,0.039,-1.307,0.289,-3.139,-14.537,11.603;495441,0.055,-1.079,0.201,7.201,-9.024,7.050;495463,0.033,-0.823,0.130,22.673,-0.978,-1.698;495483,0.011,-0.595,0.078,30.726,4.122,-6.970
2026-05-28T09:32:51.795Z 495503,-0.013,-0.467,0.065,25.394,6.003,-9.456;495526,-0.031,-0.410,0.047,7.568,3.143,-10.019;495546,-0.031,-0.411,0.042,-18.168,-4.378,-9.111;495566,-0.015,-0.406,0.042,-18.061,-4.829,-10.239;495586,-0.001,-0.371,0.004,-6.123,-1.916,-11.382
