2026-05-28T09:36:35.670Z 719312,0.056,-1.695,0.334,11.664,4.403,-1.631;719332,0.032,-1.601,0.296,7.103,1.847,-6.310;719352,0.025,-1.450,0.277,1.762,-1.936,-8.888;719373,0.022,-1.287,0.270,-0.553,-3.624,-10.282;719393,0.018,-1.106,0.244,3.421,-0.764,-9.088
2026-05-28T09:36:35.824Z 719413,0.004,-0.929,0.199,10.809,4.249,-6.003;719433,-0.026,-0.746,0.143,22.289,9.379,-1.298;719453,-0.053,-0.569,0.098,37.787,13.301,3.083;719473,-0.043,-0.430,0.076,48.122,14.538,6.077;719493,-0.001,-0.313,0.038,41.078,13.391,7.638
2026-05-28T09:36:35.940Z 719513,0.055,-0.267,0.017,20.268,12.655,8.583;719537,0.066,-0.246,0.031,-6.567,15.564,7.631;719560,0.053,-0.278,0.022,-21.219,19.683,6.052;719580,0.047,-0.352,-0.007,-24.161,22.169,3.454;719600,0.097,-0.539,-0.090,-13.808,21.975,0.606
2026-05-28T09:36:35.950Z 719620,0.092,-0.911,0.050,-13.842,16.903,-1.848;719640,-0.027,-1.174,0.241,-15.410,13.690,2.967;719660,-0.014,-1.424,0.239,-5.206,4.019,3.201;719682,0.049,-1.629,0.267,-4.105,-5.162,-2.292;719702,0.064,-1.763,0.329,-3.901,-11.969,-4.960
2026-05-28T09:36:36.007Z 719722,0.107,-1.810,0.334,2.067,-14.916,-3.462;719742,0.144,-1.769,0.300,5.044,-13.466,1.215;719762,0.163,-1.695,0.275,5.130,-9.825,5.763;719782,0.167,-1.600,0.242,4.470,-5.632,9.542;719806,0.147,-1.460,0.222,5.209,-2.270,11.540
2026-05-28T09:36:36.107Z 719829,0.118,-1.277,0.209,7.184,-1.874,11.483;719849,0.071,-1.087,0.188,12.835,-4.175,9.293;719869,0.033,-0.902,0.157,21.420,-6.652,6.714;719892,0.031,-0.697,0.104,31.400,-7.046,2.634;719912,0.053,-0.490,0.056,36.413,-4.424,-1.122
2026-05-28T09:36:36.251Z 719932,0.033,-0.385,0.024,29.999,-4.374,-3.969;719952,0.015,-0.344,0.008,10.484,-10.904,-6.060;719972,0.005,-0.320,0.003,-10.891,-19.513,-6.536;719992,-0.021,-0.300,0.046,-25.096,-23.059,-6.851;720012,-0.038,-0.279,0.039,-22.357,-19.527,-7.568
2026-05-28T09:36:36.309Z 720032,-0.039,-0.269,0.009,-18.967,-17.587,-5.890;720052,-0.040,-0.335,-0.019,-21.423,-15.114,-2.707;720072,-0.025,-0.697,0.057,-20.352,-14.879,4.151;720092,-0.071,-1.189,0.175,-18.324,-20.374,18.474;720113,-0.000,-1.389,0.247,-9.130,-23.361,23
2026-05-28T09:36:36.429Z 720137,0.103,-1.482,0.278,-8.951,-26.439,20.308;720157,0.192,-1.642,0.370,-9.925,-22.537,15.542;720177,0.204,-1.775,0.480,2.083,-10.395,11.804;720197,0.193,-1.779,0.487,13.362,1.372,7.847;720221,0.161,-1.733,0.461,20.751,9.836,3.343
2026-05-28T09:36:36.518Z 720241,0.108,-1.655,0.413,22.811,12.087,-1.961;720261,0.054,-1.502,0.372,20.433,11.052,-6.967;720281,0.015,-1.331,0.334,14.960,4.780,-10.335;720301,0.015,-1.133,0.317,12.689,-0.395,-11.225;720321,0.015,-0.935,0.270,16.224,-1.691,-9.062
2026-05-28T09:36:36.674Z 720345,0.008,-0.736,0.207,28.722,0.970,-3.061;720365,-0.007,-0.556,0.125,43.622,1.997,3.105;720385,-0.004,-0.423,0.072,52.789,2.851,6.401;720405,0.025,-0.322,0.047,47.690,0.455,6.319;720425,0.068,-0.264,0.022,28.763,-5.317,5.864
2026-05-28T09:36:36.728Z 720445,0.089,-0.246,0.015,2.842,-10.690,4.391;720465,0.093,-0.279,0.012,-7.637,-12.145,-0.312;720488,0.108,-0.372,-0.002,-5.283,-10.652,-6.867;720508,0.156,-0.600,-0.020,2.266,-8.514,-15.645;720528,0.078,-0.921,0.089,0.471,-6.963,-19.661
2026-05-28T09:36:36.823Z 720548,0.014,-1.132,0.242,-1.880,-2.302,-10.558;720568,-0.009,-1.322,0.324,1.579,2.887,-5.213;720588,-0.011,-1.466,0.424,-3.492,1.694,-0.870;720608,0.018,-1.613,0.618,-7.967,-2.845,4.104;720632,0.048,-1.675,0.708,0.690,-1.567,7.509
2026-05-28T09:36:36.910Z 720653,0.109,-1.636,0.648,10.318,0.820,11.911;720673,0.155,-1.548,0.577,11.938,1.512,15.937;720693,0.164,-1.429,0.526,8.692,1.276,17.251;720713,0.119,-1.271,0.495,8.148,-0.518,14.911;720733,0.082,-1.085,0.440,15.761,-4.780,11.078
2026-05-28T09:36:37.035Z 720753,0.072,-0.899,0.343,29.070,-8.878,6.461;720773,0.060,-0.687,0.249,44.632,-7.977,0.469;720793,0.045,-0.489,0.204,47.843,-3.430,-5.474;720815,0.023,-0.350,0.168,36.281,-1.807,-8.758;720835,0.006,-0.286,0.121,11.924,-3.523,-9.718
2026-05-28T09:36:37.175Z 720855,0.013,-0.313,0.018,-23.830,-9.321,-6.647;720875,-0.030,-0.547,0.034,-17.656,-9.278,0.317;720895,-0.038,-1.041,0.239,-13.680,-8.106,7.975;720917,0.105,-1.175,0.226,-6.886,-7.696,1.626;720937,0.216,-1.313,0.245,-2.419,-4.619,-2.206
2026-05-28T09:36:37.262Z 720957,0.247,-1.441,0.282,-2.395,0.844,-1.605;720977,0.236,-1.505,0.321,-4.178,7.263,-0.570;720997,0.188,-1.501,0.350,-6.472,13.315,-2.461;721017,0.127,-1.453,0.356,-10.152,17.955,-6.639;721040,0.085,-1.354,0.358,-14.928,19.446,-12.190
2026-05-28T09:36:37.330Z 721060,0.058,-1.227,0.318,-17.624,19.074,-16.939;721084,0.053,-1.057,0.293,-19.576,19.051,-19.822;721104,0.042,-0.887,0.246,-17.958,20.588,-19.857;721124,0.002,-0.744,0.193,-12.206,25.694,-14.651;721144,-0.065,-0.621,0.113,-4.434,27.260,-5.783
2026-05-28T09:36:37.455Z 721168,-0.081,-0.506,0.043,4.096,24.581,2.733;721188,-0.065,-0.423,-0.016,9.249,20.436,8.518;721208,-0.037,-0.353,-0.025,3.577,16.620,9.166;721228,-0.004,-0.305,-0.025,-4.686,12.415,5.525;721251,0.027,-0.395,-0.141,-19.007,8.493,-0.441
2026-05-28T09:36:37.543Z 721274,0.252,-0.642,-0.220,-28.891,0.535,-9.717;721294,0.059,-1.143,-0.147,-12.189,-1.861,-7.329;721314,-0.099,-1.383,0.240,-8.355,-1.692,-2.034;721338,-0.026,-1.507,0.237,9.185,-1.960,-6.132;721360,-0.006,-1.587,0.294,4.713,-8.056,-7.481
2026-05-28T09:36:37.695Z 721382,0.016,-1.628,0.395,1.113,-10.052,-5.254;721402,0.042,-1.587,0.398,5.652,-5.111,0.726;721422,0.055,-1.489,0.384,3.824,-1.854,7.284;721442,0.044,-1.348,0.371,1.026,-1.237,12.241;721462,0.019,-1.176,0.318,2.850,-3.286,13.911
2026-05-28T09:36:37.748Z 721482,0.003,-0.994,0.262,7.934,-5.430,11.850;721502,0.009,-0.829,0.171,16.082,-7.856,7.506;721522,0.037,-0.654,0.098,21.323,-9.131,0.795;721542,0.073,-0.493,0.032,23.215,-6.846,-5.882;721562,0.069,-0.370,-0.005,16.721,-0.884,-11.229
2026-05-28T09:36:37.900Z 721582,0.043,-0.290,-0.017,4.417,3.341,-13.829;721606,-0.000,-0.254,-0.011,-12.332,2.217,-11.323;721627,-0.052,-0.262,-0.028,-22.951,2.068,-7.542;721647,-0.068,-0.339,-0.064,-17.852,1.492,-1.749;721667,-0.135,-0.686,-0.127,-1.990,6.093,5.467
