2026-05-28T09:34:45.233Z 608960,0.004,-0.368,-0.038,2.882,-12.905,4.073;608980,0.091,-0.499,-0.118,2.559,-17.653,-2.576;609000,0.246,-0.893,0.063,1.443,-23.153,-14.674;609021,0.155,-1.079,0.075,3.415,-22.408,-9.895;609041,0.100,-1.241,0.517,-9.237,-13.417,-1.820
2026-05-28T09:34:45.335Z 609061,0.085,-1.464,0.489,1.816,-5.169,-0.023;609081,0.068,-1.609,0.617,-7.364,-5.895,2.533;609101,0.045,-1.686,0.796,-12.165,-4.151,4.242;609121,0.041,-1.728,0.851,-5.360,-2.310,5.357;609141,0.057,-1.687,0.797,1.295,0.426,7.453
2026-05-28T09:34:45.426Z 609165,0.076,-1.601,0.720,2.172,2.111,10.640;609185,0.082,-1.456,0.612,2.111,2.426,12.706;609206,0.070,-1.285,0.517,2.408,2.428,12.478;609226,0.054,-1.093,0.394,7.979,1.432,10.214;609246,0.036,-0.901,0.280,15.398,1.071,6.028
2026-05-28T09:34:45.574Z 609266,0.020,-0.704,0.193,23.388,2.613,0.719;609286,0.017,-0.530,0.130,27.323,3.073,-3.024;609306,0.016,-0.403,0.066,23.197,2.621,-5.666;609326,0.012,-0.332,0.044,8.768,2.063,-6.889;609346,0.015,-0.291,0.048,-6.482,1.094,-5.771
2026-05-28T09:34:45.640Z 609366,0.014,-0.277,0.040,-16.203,1.104,-2.668;609386,-0.000,-0.289,0.027,-18.094,2.705,1.199;609406,-0.011,-0.317,-0.016,-10.527,5.467,5.098;609430,-0.000,-0.393,-0.044,-3.711,7.174,9.532;609450,-0.006,-0.760,-0.014,-2.532,-0.906,24.889
2026-05-28T09:34:45.764Z 609470,-0.009,-1.186,0.238,2.398,-14.787,27.925;609494,0.147,-1.301,0.354,-2.933,-23.299,16.930;609514,0.267,-1.506,0.554,-10.275,-21.049,9.569;609534,0.301,-1.679,0.726,-11.078,-11.977,2.655;609554,0.276,-1.749,0.788,1.076,-1.364,-4.001
2026-05-28T09:34:45.850Z 609574,0.192,-1.725,0.726,14.821,13.471,-11.220;609594,0.072,-1.630,0.640,18.082,22.088,-16.689;609614,-0.027,-1.503,0.556,14.866,19.901,-18.780;609634,-0.048,-1.325,0.466,9.395,13.849,-17.308;609654,-0.028,-1.120,0.358,9.195,10.224,-14.370
2026-05-28T09:34:45.940Z 609674,-0.024,-0.909,0.212,16.257,11.245,-7.905;609695,-0.026,-0.693,0.115,25.848,14.356,-0.683;609715,-0.035,-0.499,0.076,37.956,14.244,6.537;609735,-0.034,-0.373,0.034,44.512,12.025,10.710;609755,-0.031,-0.290,0.000,35.327,6.898,11.185
2026-05-28T09:34:46.087Z 609776,-0.025,-0.251,-0.038,14.116,-1.498,9.393;609796,-0.009,-0.224,-0.039,-10.981,-13.074,5.244;609816,0.040,-0.340,-0.130,-28.175,-18.181,-5.882;609836,0.191,-0.730,0.050,-17.824,-19.903,-26.643;609856,0.075,-0.949,0.040,-12.853,-22.173,-33.
2026-05-28T09:34:46.176Z 609880,-0.106,-1.154,0.634,-43.151,-14.242,-15.760;609900,-0.122,-1.440,0.618,-14.688,5.885,-13.936;609920,-0.123,-1.609,0.729,-16.302,10.934,-7.656;609940,-0.144,-1.652,0.898,-20.522,8.635,-1.396;609960,-0.131,-1.631,0.830,-9.927,8.338,2.342
2026-05-28T09:34:46.264Z 609984,-0.065,-1.537,0.742,-4.446,7.380,6.561;610004,-0.018,-1.394,0.669,-4.365,3.874,10.980;610024,-0.002,-1.216,0.535,3.339,-0.030,10.555;610044,0.012,-1.030,0.390,14.529,-3.596,6.114;610064,0.029,-0.799,0.257,24.142,-3.331,1.122
