2026-05-28T09:30:28.353Z 352069,0.168,-0.713,0.144,-17.566,-24.349,-3.508;352089,0.029,-1.158,0.402,-21.184,-22.857,9.518;352109,-0.017,-1.227,0.899,-20.744,-11.006,8.291;352130,-0.044,-1.362,0.952,-4.201,4.323,6.374;352150,-0.059,-1.382,0.889,9.924,4.032,11.460
2026-05-28T09:30:28.469Z 352170,-0.030,-1.361,0.832,10.440,-1.041,15.510;352190,0.020,-1.309,0.763,12.353,-4.263,16.666;352210,0.076,-1.234,0.653,17.715,-3.697,14.734;352232,0.130,-1.078,0.503,24.670,-1.183,11.977;352252,0.160,-0.894,0.379,33.357,6.474,7.384
2026-05-28T09:30:28.531Z 352272,0.127,-0.656,0.267,41.253,14.137,2.800;352295,0.059,-0.439,0.219,54.612,27.498,2.131;352315,-0.003,-0.286,0.167,55.941,36.740,3.946;352335,-0.056,-0.177,0.133,43.110,42.975,4.871;352355,-0.056,-0.258,0.098,7.044,38.149,4.236
2026-05-28T09:30:28.684Z 352375,-0.011,-0.557,0.135,-53.164,15.087,8.558;352395,-0.002,-1.072,0.419,-65.194,-12.628,10.696;352415,0.036,-1.219,0.663,-48.576,-16.428,8.345;352435,0.093,-1.348,0.682,-29.296,-13.479,3.042;352455,0.161,-1.432,0.698,-23.547,-10.010,-1.232
2026-05-28T09:30:28.745Z 352475,0.142,-1.448,0.698,-17.094,-3.730,-3.747;352499,0.066,-1.381,0.643,-5.219,4.584,-3.831;352519,-0.022,-1.240,0.521,8.674,7.897,-0.973;352539,-0.105,-1.029,0.419,20.062,4.149,2.397;352559,-0.177,-0.730,0.353,46.295,1.266,2.380
2026-05-28T09:30:28.897Z 352579,-0.168,-0.481,0.337,70.076,2.074,5.984;352599,-0.081,-0.279,0.264,65.854,-2.028,11.991;352619,0.078,-0.313,0.092,29.545,-12.298,7.207;352639,0.323,-0.684,0.120,-51.141,-25.001,0.221;352663,0.246,-1.157,0.353,-102.393,-32.896,-22.485
2026-05-28T09:30:28.956Z 352683,-0.015,-1.388,0.774,-76.863,-27.193,-1.611;352703,-0.127,-1.417,0.623,-40.047,-5.444,-1.176;352727,-0.055,-1.503,0.673,-34.937,-8.555,2.608;352747,-0.028,-1.448,0.630,-29.101,-13.681,7.727;352771,0.010,-1.356,0.646,-26.503,-18.916,9.733
2026-05-28T09:30:29.077Z 352792,0.089,-1.222,0.531,-15.350,-16.363,8.854;352812,0.154,-1.065,0.407,-5.110,-10.539,6.974;352832,0.160,-0.872,0.258,3.466,-3.199,3.394;352852,0.094,-0.668,0.158,11.928,5.273,-1.768;352872,0.016,-0.467,0.114,18.790,17.583,-3.309
2026-05-28T09:30:29.171Z 352892,-0.040,-0.342,0.070,17.675,26.088,-2.053;352912,-0.064,-0.349,0.024,-0.779,27.961,0.499;352935,-0.026,-0.750,0.087,-57.031,4.238,13.039;352955,0.037,-1.238,0.443,-61.092,-17.958,17.569;352975,0.032,-1.333,0.474,-32.721,-14.175,13.682
2026-05-28T09:30:29.255Z 352997,0.131,-1.364,0.502,-20.589,-10.923,8.644;353017,0.182,-1.397,0.530,-24.395,-9.916,4.269;353037,0.155,-1.382,0.617,-27.501,-6.131,-0.052;353059,0.100,-1.333,0.617,-19.778,4.063,-4.629;353079,0.031,-1.226,0.566,-11.602,11.794,-4.804
2026-05-28T09:30:29.382Z 353099,-0.049,-1.067,0.454,-2.016,11.215,-0.260;353119,-0.112,-0.876,0.343,11.196,8.434,4.181;353142,-0.119,-0.664,0.215,27.735,5.494,7.401;353162,-0.098,-0.474,0.166,44.687,7.664,8.688;353182,-0.051,-0.315,0.131,51.525,4.857,10.802
2026-05-28T09:30:29.469Z 353202,0.004,-0.266,0.101,33.954,0.915,9.121;353222,0.075,-0.452,0.038,-9.143,-8.021,3.665;353242,0.176,-0.736,0.091,-78.377,-28.314,-17.929;353262,0.150,-1.226,0.438,-70.301,-28.086,-9.933;353282,0.079,-1.280,0.601,-48.311,-10.827,-9.596
2026-05-28T09:30:29.590Z 353302,0.023,-1.320,0.545,-22.571,-6.740,-5.320;353322,-0.018,-1.348,0.575,-25.750,-10.234,2.008;353342,-0.013,-1.341,0.604,-30.484,-19.016,9.165;353362,0.008,-1.290,0.643,-28.026,-21.135,12.408;353382,0.074,-1.200,0.559,-16.553,-20.062,13.376
2026-05-28T09:30:29.708Z 353403,0.154,-1.084,0.473,-6.508,-17.831,12.886;353423,0.184,-0.909,0.336,6.755,-10.404,8.555;353443,0.142,-0.696,0.207,17.314,-0.512,2.346;353464,0.094,-0.501,0.149,28.486,14.478,-2.393;353484,0.035,-0.324,0.116,37.104,25.930,-1.767
2026-05-28T09:30:29.768Z 353504,-0.007,-0.208,0.113,33.928,34.024,0.249;353524,-0.028,-0.340,0.075,-2.756,29.415,3.848;353544,0.046,-0.669,0.092,-64.086,7.260,11.051;353564,0.081,-1.168,0.500,-70.833,-13.028,10.576;353584,0.100,-1.218,0.688,-44.095,-5.351,7.995
2026-05-28T09:30:29.887Z 353605,0.180,-1.247,0.657,-23.162,0.487,2.439;353625,0.202,-1.257,0.673,-30.372,0.551,-2.537;353645,0.144,-1.235,0.734,-29.506,4.387,-6.370;353669,0.064,-1.178,0.669,-21.079,11.300,-8.252;353689,-0.013,-1.067,0.601,-13.385,15.346,-7.201
2026-05-28T09:30:30.008Z 353709,-0.085,-0.896,0.503,-1.710,10.416,-3.138;353729,-0.083,-0.679,0.384,16.400,4.688,0.678;353749,-0.052,-0.454,0.303,35.217,3.765,4.133;353771,-0.014,-0.317,0.259,45.773,4.629,8.049;353791,0.019,-0.266,0.193,42.514,2.753,9.330
2026-05-28T09:30:30.127Z 353811,0.175,-0.558,0.111,-1.537,-9.058,3.470;353831,0.106,-1.071,0.322,-22.675,-30.240,-16.433;353854,-0.061,-1.232,0.509,-7.573,-30.968,-5.507;353874,-0.074,-1.289,0.534,14.080,-8.919,-2.733;353894,-0.067,-1.349,0.537,17.250,-7.352,0.734
2026-05-28T09:30:30.187Z 353914,-0.041,-1.330,0.530,8.016,-13.537,5.460;353934,-0.022,-1.269,0.543,5.486,-17.860,10.107;353954,0.015,-1.161,0.471,11.859,-16.655,12.691;353978,0.078,-1.005,0.378,17.954,-14.267,13.002;353998,0.124,-0.827,0.289,26.815,-7.421,8.602
