2026-05-28T09:27:33.152Z 176868,-0.027,-1.307,0.795,3.329,25.861,-9.205;176890,-0.049,-1.307,0.776,8.872,25.369,-10.366;176910,-0.061,-1.293,0.750,13.117,21.921,-11.383;176931,-0.067,-1.267,0.697,19.984,17.525,-12.591;176951,-0.087,-1.222,0.624,27.597,12.901,-13.640
2026-05-28T09:27:33.427Z 176971,-0.108,-1.160,0.553,32.247,7.770,-13.889;176991,-0.114,-1.086,0.497,30.953,3.336,-12.799;177011,-0.104,-1.008,0.449,29.798,0.455,-11.144;177031,-0.088,-0.923,0.413,29.860,-1.215,-9.104;177051,-0.090,-0.819,0.375,30.682,-2.324,-6.696
2026-05-28T09:27:33.456Z 177074,-0.102,-0.722,0.331,30.328,-3.651,-3.189;177094,-0.107,-0.633,0.285,28.827,-5.676,0.603;177114,-0.108,-0.555,0.251,26.920,-9.228,3.850;177134,-0.095,-0.475,0.217,25.730,-13.117,6.121;177158,-0.078,-0.418,0.164,25.029,-19.426,7.681
2026-05-28T09:27:33.461Z 177178,-0.049,-0.417,0.059,24.946,-26.922,6.158;177198,0.008,-0.498,-0.031,25.177,-30.830,1.165;177218,0.166,-0.677,-0.005,12.126,-28.714,-5.250;177242,0.145,-0.919,0.107,13.988,-24.178,-2.978;177264,0.022,-1.135,0.327,14.059,-15.836,2.719
2026-05-28T09:27:33.543Z 177284,-0.012,-1.274,0.386,18.991,-13.809,3.679;177305,-0.042,-1.393,0.474,12.663,-16.599,4.100;177325,-0.051,-1.498,0.572,8.237,-17.030,7.739;177345,-0.031,-1.540,0.597,13.099,-13.267,12.175;177365,-0.021,-1.506,0.567,15.629,-9.620,16.515
2026-05-28T09:27:33.668Z 177385,-0.012,-1.430,0.518,15.354,-8.122,19.434;177405,-0.012,-1.319,0.464,13.371,-8.002,20.211;177425,-0.008,-1.183,0.417,12.299,-9.631,18.259;177445,0.042,-0.998,0.331,15.591,-10.603,14.576;177465,0.072,-0.804,0.247,22.004,-10.130,8.881
2026-05-28T09:27:33.786Z 177485,0.052,-0.602,0.182,34.213,-4.188,0.064;177505,0.019,-0.435,0.146,37.742,2.528,-6.966;177525,-0.002,-0.354,0.116,14.118,3.815,-6.531;177545,-0.005,-0.319,0.078,-18.176,0.963,-2.756;177565,-0.004,-0.482,-0.058,-50.111,-6.652,3.760
2026-05-28T09:27:33.847Z 177585,-0.076,-0.903,0.032,-41.056,-8.602,8.226;177605,-0.022,-1.053,0.067,-31.401,-9.335,5.525;177625,0.081,-1.162,0.118,-26.178,-7.981,1.508;177645,0.131,-1.283,0.192,-23.029,-4.870,-0.873;177665,0.127,-1.401,0.266,-21.388,0.228,-1.715
2026-05-28T09:27:33.969Z 177685,0.085,-1.465,0.368,-18.894,7.151,-4.690;177705,0.041,-1.459,0.402,-14.741,13.165,-9.576;177725,0.010,-1.399,0.408,-12.530,19.247,-14.156;177745,0.007,-1.275,0.381,-10.596,23.913,-17.292;177765,0.021,-1.134,0.343,-8.851,28.254,-19.511
2026-05-28T09:27:34.057Z 177785,0.022,-0.986,0.270,-7.624,30.553,-17.999;177808,-0.038,-0.832,0.172,-3.166,31.280,-13.797;177828,-0.090,-0.668,0.094,6.080,31.349,-7.500;177848,-0.081,-0.500,0.030,19.935,31.178,-1.991;177868,-0.055,-0.375,0.001,22.978,28.891,2.658
